Order,Artist,Collection,Piece Title,Piece Slug,Token ID
1,Tyler Hobbs,Fidenza,Fidenza #5,fidenza-5-d270,
2,Tyler Hobbs,Fidenza,Fidenza #19,fidenza-19-d270,
3,Tyler Hobbs,Fidenza,Fidenza #28,fidenza-28-d270,
4,Tyler Hobbs,Fidenza,Fidenza #60,fidenza-60-d270,
5,Tyler Hobbs,Fidenza,Fidenza #90,fidenza-90-d270,
6,Tyler Hobbs,Fidenza,Fidenza #98,fidenza-98-d270,
7,Tyler Hobbs,Fidenza,Fidenza #145,fidenza-145-d270,
8,Tyler Hobbs,Fidenza,Fidenza #169,fidenza-169-d270,
9,Tyler Hobbs,Fidenza,Fidenza #180,fidenza-180-d270,
10,Tyler Hobbs,Fidenza,Fidenza #200,fidenza-200-d270,
11,Tyler Hobbs,Fidenza,Fidenza #231,fidenza-231-d270,
12,Tyler Hobbs,Fidenza,Fidenza #253,fidenza-253-d270,
13,Tyler Hobbs,Fidenza,Fidenza #256,fidenza-256-d270,
14,Tyler Hobbs,Fidenza,Fidenza #262,fidenza-262-d270,
15,Tyler Hobbs,Fidenza,Fidenza #342,fidenza-342-d270,
16,Tyler Hobbs,Fidenza,Fidenza #378,fidenza-378-d270,
17,Tyler Hobbs,Fidenza,Fidenza #437,fidenza-437-d270,
18,Tyler Hobbs,Fidenza,Fidenza #456,fidenza-456-d270,
19,Tyler Hobbs,Fidenza,Fidenza #573,fidenza-573-d270,
20,Tyler Hobbs,Fidenza,Fidenza #587,fidenza-587-d270,
21,Tyler Hobbs,Fidenza,Fidenza #593,fidenza-593-d270,
22,Tyler Hobbs,Fidenza,Fidenza #609,fidenza-609-d270,
23,Tyler Hobbs,Fidenza,Fidenza #647,fidenza-647-d270,
24,Tyler Hobbs,Fidenza,Fidenza #650,fidenza-650-d270,
25,Tyler Hobbs,Fidenza,Fidenza #713,fidenza-713-d270,
26,Tyler Hobbs,Fidenza,Fidenza #718,fidenza-718-d270,
27,Tyler Hobbs,Fidenza,Fidenza #819,fidenza-819-d270,
28,Tyler Hobbs,Fidenza,Fidenza #929,fidenza-929-d270,
29,Tyler Hobbs,Fidenza,Fidenza #943,fidenza-943-d270,
30,Tyler Hobbs,Fidenza,Fidenza #984,fidenza-984-d270,
31,Tyler Hobbs,QQL,QQL #308,qql-308-0c88,
32,Tyler Hobbs,QQL,QQL #309,qql-309-0c88,
33,Tyler Hobbs,QQL,Mint Pass #160,qql-160-1088,
34,Tyler Hobbs,QQL,Mint Pass #220,qql-220-1088,
35,Tyler Hobbs,QQL,Mint Pass #458,qql-458-1088,
36,Tyler Hobbs,QQL,Mint Pass #469,qql-469-1088,
37,Tyler Hobbs,QQL,Mint Pass #534,qql-534-1088,
38,Tyler Hobbs,QQL,Mint Pass #617,qql-617-1088,
39,Tyler Hobbs,QQL,Mint Pass #714,qql-714-1088,
40,Tyler Hobbs,QQL,Mint Pass #722,qql-722-1088,
41,Tyler Hobbs,QQL,Mint Pass #915,qql-915-1088,
42,Tyler Hobbs,QQL,Mint Pass #978,qql-978-1088,
43,Tyler Hobbs,Day Gardens,Day Garden #27,day-gardens-27-c0fd,
44,Tyler Hobbs,Day Gardens,Day Garden #32,day-gardens-32-c0fd,
45,Tyler Hobbs,Day Gardens,Day Garden #40,day-gardens-40-c0fd,
46,Tyler Hobbs,Tyler Hobbs,Return Zero [Blue] 0.7,tyler-hobbs-1-9345,
47,Tyler Hobbs,Tyler Hobbs,Elektroanima 0.9,tyler-hobbs-2-9345,
48,Tyler Hobbs,Tyler Hobbs,One One Overflow,tyler-hobbs-3-9345,
49,Tyler Hobbs,Tyler Hobbs,Harbor Scene #2 (after John Henry Twachtman),tyler-hobbs-2-8e82,
50,Dmitri Cherniak,Ringers,Ringers #14,ringers-13000014-d270,
51,Dmitri Cherniak,Ringers,Ringers #25,ringers-13000025-d270,
52,Dmitri Cherniak,Ringers,Ringers #58,ringers-13000058-d270,
53,Dmitri Cherniak,Ringers,Ringers #64,ringers-13000064-d270,
54,Dmitri Cherniak,Ringers,Ringers #75,ringers-13000075-d270,
